#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
45,Oman,116528,376.0,1264.0,8.0,106540.0,345.0,8724.0,164.0,22628,245.0,376700.0,73149.0,5149773,Asia,44,4074.0,14.0,11/03/2020
46,Kazakhstan,113309,449.0,1857.0,,106716.0,202.0,4736.0,221.0,6010,99.0,3466616.0,183879.0,18852655,Asia,166,10152.0,5.0,11/03/2020
47,Costa Rica,112120,863.0,1419.0,15.0,68604.0,475.0,42097.0,185.0,21942,278.0,308063.0,60287.0,5109903,North America,46,3601.0,17.0,11/03/2020
48,Guatemala,108483,379.0,3748.0,10.0,98658.0,902.0,6077.0,5.0,6018,208.0,438272.0,24312.0,18026694,North America,166,4810.0,41.0,11/03/2020
49,Egypt,108122,197.0,6305.0,14.0,99765.0,113.0,2052.0,41.0,1050,61.0,135000.0,1311.0,102981299,Africa,952,16333.0,763.0,11/03/2020
50,Japan,102281,468.0,1780.0,6.0,93855.0,472.0,6646.0,163.0,810,14.0,2755446.0,21809.0,126343177,Asia,1235,70979.0,46.0,11/03/2020
51,Belarus,101329,929.0,992.0,3.0,87985.0,585.0,12352.0,,10725,105.0,2547858.0,269664.0,9448256,Europe,93,9524.0,4.0,11/03/2020
52,Honduras,98405,193.0,2688.0,13.0,41116.0,429.0,54601.0,24.0,9882,270.0,231650.0,23264.0,9957608,North America,101,3704.0,43.0,11/03/2020
53,Ethiopia,97502,560.0,1494.0,5.0,55254.0,849.0,40754.0,346.0,841,13.0,1498360.0,12927.0,115910487,Africa,1189,77584.0,77.0,11/03/2020
54,Armenia,94776,1328.0,1413.0,22.0,57599.0,1133.0,35764.0,,31963,477.0,413515.0,139459.0,2965139,Asia,31,2098.0,7.0,11/03/2020
55,Venezuela,92705,,806.0,,87547.0,,4352.0,117.0,3263,28.0,2127032.0,74874.0,28408211,South America,306,35246.0,13.0,11/03/2020
56,Hungary,86769,3989.0,1973.0,84.0,20856.0,380.0,63940.0,348.0,8990,204.0,1111991.0,115209.0,9651912,Europe,111,4892.0,9.0,11/03/2020
57,Jordan,86576,4833.0,967.0,54.0,7993.0,135.0,77616.0,374.0,8457,94.0,1934688.0,188981.0,10237473,Asia,118,10587.0,5.0,11/03/2020
218,China,86070,49.0,4634.0,,81045.0,21.0,391.0,9.0,60,3.0,160000000.0,111163.0,1439323776,Asia,16723,310601.0,9.0,11/03/2020
58,Lebanon,85209,1512.0,667.0,15.0,43885.0,,40657.0,273.0,12503,98.0,1259561.0,184824.0,6814906,Asia,80,10217.0,5.0,11/03/2020
59,Bahrain,82363,230.0,324.0,2.0,79680.0,362.0,2359.0,20.0,47858,188.0,1780051.0,1034329.0,1720971,Asia,21,5312.0,1.0,11/03/2020
60,Moldova,77487,710.0,1838.0,20.0,57402.0,527.0,18247.0,778.0,19224,456.0,379214.0,94081.0,4030738,Europe,52,2193.0,11.0,11/03/2020
61,Uzbekistan,67553,299.0,574.0,3.0,64815.0,349.0,2164.0,266.0,2009,17.0,1377915.0,40970.0,33632700,Asia,498,58594.0,24.0,11/03/2020
62,Paraguay,64156,,1429.0,,44006.0,,18721.0,120.0,8958,200.0,368759.0,51487.0,7162153,South America,112,5012.0,19.0,11/03/2020
63,Libya,63688,781.0,893.0,13.0,36995.0,387.0,25800.0,,9226,129.0,328172.0,47542.0,6902823,Africa,108,7730.0,21.0,11/03/2020
64,Slovakia,63556,1727.0,235.0,16.0,14257.0,1245.0,49064.0,200.0,11639,43.0,832238.0,152409.0,5460549,Europe,86,23236.0,7.0,11/03/2020
65,Ireland,63048,298.0,1922.0,5.0,23364.0,,37762.0,42.0,12720,388.0,1667415.0,336413.0,4956456,Europe,79,2579.0,3.0,11/03/2020
66,Nigeria,63036,,1147.0,,59328.0,,2561.0,7.0,303,6.0,627600.0,3020.0,207838453,Africa,3297,181202.0,331.0,11/03/2020
67,Tunisia,61906,,1381.0,,5032.0,,55493.0,234.0,5220,116.0,356726.0,30077.0,11860516,Africa,192,8588.0,33.0,11/03/2020
68,Bulgaria,60537,4041.0,1412.0,63.0,21544.0,507.0,37581.0,210.0,8735,204.0,746392.0,107699.0,6930350,Europe,114,4908.0,9.0,11/03/2020
69,Kyrgyzstan,59879,,1155.0,,50741.0,,7983.0,24.0,9127,176.0,417790.0,63684.0,6560383,Asia,110,5680.0,16.0,11/03/2020
70,Algeria,58979,405.0,1980.0,,40577.0,,16422.0,29.0,1337,45.0,,,44116714,Africa,748,22281.0,,11/03/2020
71,Azerbaijan,58282,1242.0,768.0,15.0,45030.0,551.0,12484.0,,5731,76.0,1379779.0,135669.0,10170194,Asia,174,13242.0,7.0,11/03/2020
72,Singapore,58029,9.0,28.0,,57937.0,13.0,64.0,,9892,5.0,3879052.0,661279.0,5865980,Asia,101,209499.0,2.0,11/03/2020
73,Kenya,57093,492.0,1039.0,12.0,37846.0,404.0,18208.0,54.0,1054,19.0,708333.0,13077.0,54166601,Africa,949,52133.0,76.0,11/03/2020
74,Myanmar,55804,1197.0,1307.0,25.0,39063.0,1109.0,15434.0,,1023,24.0,722135.0,13242.0,54533945,Asia,977,41725.0,76.0,11/03/2020
75,Palestine,55408,633.0,501.0,8.0,47744.0,575.0,7163.0,,10778,97.0,536243.0,104309.0,5140928,Asia,93,10261.0,10.0,11/03/2020
76,Croatia,54087,1427.0,628.0,34.0,39380.0,2048.0,14079.0,112.0,13203,153.0,514176.0,125515.0,4096522,Europe,76,6523.0,8.0,11/03/2020
77,Bosnia and Herzegovina,53822,1553.0,1317.0,37.0,29156.0,589.0,23349.0,,16440,402.0,322647.0,98555.0,3273769,Europe,61,2486.0,10.0,11/03/2020
78,Serbia,51083,1878.0,844.0,11.0,31536.0,,18703.0,49.0,5855,97.0,1363619.0,156284.0,8725243,Europe,171,10338.0,6.0,11/03/2020
79,Denmark,49594,1353.0,728.0,4.0,36111.0,700.0,12755.0,22.0,8552,126.0,5485825.0,945967.0,5799171,Europe,117,7966.0,1.0,11/03/2020
80,Ghana,48200,,320.0,,47260.0,,620.0,11.0,1540,10.0,532197.0,17009.0,31289749,Africa,649,97780.0,59.0,11/03/2020
81,Georgia,44522,1943.0,362.0,20.0,28633.0,1833.0,15527.0,,11168,91.0,860418.0,215831.0,3986534,Asia,90,11013.0,5.0,11/03/2020
82,Greece,44246,2166.0,655.0,13.0,9989.0,,33602.0,169.0,4252,63.0,1829091.0,175781.0,10405492,Europe,235,15886.0,6.0,11/03/2020
83,Afghanistan,41728,95.0,1544.0,3.0,34355.0,13.0,5829.0,93.0,1064,39.0,123609.0,3152.0,39220754,Asia,940,25402.0,317.0,11/03/2020
84,Slovenia,37382,1176.0,412.0,24.0,14074.0,777.0,22896.0,146.0,17980,198.0,375616.0,180668.0,2079036,Europe,56,5046.0,6.0,11/03/2020
85,Malaysia,34393,1054.0,263.0,12.0,23995.0,875.0,10135.0,94.0,1058,8.0,2176725.0,66964.0,32506075,Asia,945,123597.0,15.0,11/03/2020
86,El Salvador,34015,,987.0,4.0,29788.0,,3240.0,38.0,5235,152.0,478223.0,73603.0,6497366,North America,191,6583.0,14.0,11/03/2020
87,North Macedonia,33908,911.0,1049.0,24.0,21665.0,421.0,11194.0,25.0,16276,504.0,255904.0,122833.0,2083345,Europe,61,1986.0,8.0,11/03/2020
88,Australia,27610,8.0,907.0,,25384.0,28.0,1319.0,1.0,1079,35.0,8887171.0,347155.0,25599977,Australia/Oceania,927,28225.0,3.0,11/03/2020
89,S. Korea,26807,75.0,472.0,4.0,24510.0,115.0,1825.0,52.0,523,9.0,2649859.0,51670.0,51284306,Asia,1913,108653.0,19.0,11/03/2020
90,Cameroon,22103,,429.0,,21151.0,,523.0,61.0,826,16.0,149000.0,5567.0,26765550,Africa,1211,62391.0,180.0,11/03/2020
91,Albania,21904,381.0,532.0,5.0,11473.0,106.0,9899.0,14.0,7614,185.0,125423.0,43599.0,2876718,Europe,131,5407.0,23.0,11/03/2020
92,Norway,21624,285.0,282.0,,11863.0,,9479.0,10.0,3978,52.0,1692311.0,311336.0,5435649,Europe,251,19275.0,3.0,11/03/2020
93,Ivory Coast,20765,12.0,126.0,,20427.0,17.0,212.0,,781,5.0,195528.0,7352.0,26595477,Africa,1281,211075.0,136.0,11/03/2020
94,Luxembourg,19634,533.0,167.0,7.0,10825.0,108.0,8642.0,29.0,31195,265.0,1095526.0,1740580.0,629403,Europe,32,3769.0,1.0,11/03/2020
95,Montenegro,19210,,320.0,,14456.0,,4434.0,26.0,30585,509.0,92468.0,147220.0,628093,Europe,33,1963.0,7.0,11/03/2020
96,Lithuania,17453,897.0,175.0,5.0,4934.0,43.0,12344.0,35.0,6442,65.0,1038164.0,383220.0,2709058,Europe,155,15480.0,3.0,11/03/2020
97,Madagascar,17111,,244.0,,16409.0,,458.0,16.0,613,9.0,89524.0,3206.0,27927428,Africa,1632,114457.0,312.0,11/03/2020
98,Zambia,16661,118.0,349.0,,15763.0,30.0,549.0,,898,19.0,275011.0,14822.0,18554398,Africa,1114,53164.0,67.0,11/03/2020
99,Finland,16637,237.0,359.0,,11300.0,,4978.0,13.0,3001,65.0,1548931.0,279405.0,5543667,Europe,333,15442.0,4.0,11/03/2020
100,Senegal,15640,3.0,326.0,1.0,15149.0,90.0,165.0,5.0,926,19.0,209607.0,12410.0,16890331,Africa,1080,51811.0,81.0,11/03/2020
101,Sudan,13866,,837.0,,6764.0,,6265.0,,314,19.0,,,44190350,Africa,3187,52796.0,,11/03/2020
102,Mozambique,13202,72.0,95.0,1.0,10695.0,256.0,2412.0,,419,3.0,192285.0,6096.0,31545321,Africa,2389,332056.0,164.0,11/03/2020
